reviews.text,cluster_label
This tablet absolutely surprised me The screen is awesome and the battery life is great,
I love the Fire HD Went back and bought the Fire  for my wife that afternoon,Smart Speakers
Ive had multiple Amazon Fire tablets They are a great bargain I love the ease of use and functionality The only downfall is that it is really slow to charge,
Gecksqd Helpful in understanding different things ,Smart Speakers
Upgrade from old Kindle Reader whose charger quit working android system easy to use,Smart Speakers
Got this for my mom Decent tablet not heavy and good pirce She loves it,
Great tablet  lag free when running apps Good battery life Only downside is lack of ability to screen mirror Was available on older versions but no longer,
It was great product the price which I got it was great,E-Book Readers
Our first tablet Purchased for my husband prior to a long train trip Downloaded movies had Internet and was great for traveling,
Works flawlessly Good contender to my brothers iPad Much cheaper in price Win for me,
I purchased this for my mom for Christmas and she loves it,Smart Speakers
I bought this as a Christmas gift for my  year old I was a big hit I love the  screen The price was perfect for my budget,Smart Speakers
I bought this for my  year old I was a great buy The price was affordable compared to other tablets on the market and e  screen is perfect Another great buy,
I have an original Kindle Fire and am really enjoying my new updated version Larger screen and very easy to navigate,Smart Speakers
We purchased this as a gift Researching and word of mouth led us to purchase this one Very user friendly,Smart Speakers
Purchased this as a Christmas gift for my girlfriend She absolutely loves it and uses it every day Shes very picky about electronics and she loves her tablet so it must be good,
It was a gift The individual thoroughly enjoys it,Smart Speakers
Great price Easy start up easy to use large memory Great product,E-Book Readers
I love that I can read all my books on here and search the internet,Smart Speakers
Being able to sign in and not have to do any setting up makes this device super user friendly,Smart Speakers
My  year old is curious about adult material But with this tablet you can control so much of the content he sees You can even control how much he learns before watching videos and games,Smart Speakers
Best tablet hands down Bigger screen and great new features Has Alexis also Lots of storage as well,
I love this tablet The size fits perfectly in one hand The display is wonderful and the loaded apps have me reading again It is the absolute best,
I am satisfied with my products I look weekly for a good deal I look forward to more deals,Smart Speakers
Bought this table for my  and  year old for Christmas They love them,Smart Speakers
It is a reliable easy to use tablet Holds charge well and provides for my needs,
My grandson love this tablet alot of great games and learning activities,
This smokes the Fire  which I picked up last year Powerful and great screen for streamingcannot go wrong for the price,
Bought for my  yr old Quality product at an affordable price Bought on sale for ,
I would recommend this anytime as its a great product its,
For the money the Kindle Fire is the best tablet on the market I wish I didnt buy my I pad already I would have got one of these for myself,
My son loves it There are a lot of kid friendly apps available,Smart Speakers
I left my  on airline flight and bought the  to replace love love the speed and the video on it Glad I bought it is worth it the download speed has improved very much,Smart Speakers
PriceQuilty this thing is a no brainer Awesome portal into the Amazon world,Smart Speakers
My wife uses this for playing on line games She loves it,Smart Speakers
Bought this to update the old one we have and so far its been a good buy,Smart Speakers
Great screen resolution and easy to use Battery life is really good,
I bought this for Christmas and my  year old loves it,Smart Speakers
I need a tablet to begin exploring google and kindle fire was a great choice,
Got this tablet for my mom who isnt very tech savvy She loves it Cant beat the price,
I am very impressed with this tablet It is faster than some iPads I have used I gave this as a gift and my Motherinlaw loves it Thank you,
Hands down a great update to my first gen Kindle Worthwhile,
Cheaper than the paper white and has more abilities,Smart Speakers
Got this as a gift for my mother and shes satisfied,Smart Speakers
Got it on sale and its good for what you pay for instead of paying a lot of money on an iPad,Smart Speakers
Does a good job of performing basic functions and provides a good amount of entertainment Good for watching movies or playing simple games or performing simple tasks Looks good Seems like it is well made and of good quality materials Have not had any problems Battery life is great for the price Amazon sells a quality product,
I am happy to get this product and i would also recommend this to my friends,Smart Speakers
I DONT USE MUCH OF THE APPLICATIONS BUT IT WORKS FOR THINGS I NEED,Smart Speakers
If your looking for a great tablet without the high price this is the tablet for you,E-Book Readers
Its alright to browse the Internet and watch videos,Smart Speakers
Works great and has an excellent screen size You cannot go wrong for the price unless you need to install google apps Amazon blocks them although I have heard there are work arounds,
It was easy to set up and use and the screen is big enough to play games on,Smart Speakers
Its a nice tablet however it could be better but you get what you pay for,
My grandbabie love their kindles this is the th Kindle I buy for them,Smart Speakers
I bought this for my son as a first tablet I am impressed by the builtin parental app It has a good level of control that I feel comfortable with My son likes his Kindle I think he will like it more when he gets used to having to get through the educational features before he can play I admittedly need to explore the tablet more myself That will enable me to customize the settings and the apps for him and myself,
First experience with a tablet for my husband who likes it and uses it all the time We like it,
I bought this for my niece for a Christmas giftshe is  years old and she love it,Smart Speakers
My old Kindle was not working so good anymore so bought this one on a Black Friday Deal from Best Buy Price was great The only problem I had was that at times it did not seem to be charging well or fast I took it back to Best Buy and they would have replaced it for me but then would have lost all progress in games I had played The person at Tech Support suggested that I change the plug in brick He said that they have had problems with that I can use the same plug that I use for my iphone and now it charges fine Glad that it was an easy fix,
Love the  inch HD tablet Great colors on screen Not cheaply built like some,
One of the best tablets Good for watching YouTube and reading as well,Smart Speakers
Kindle Fire HD is great Love the the size and the graphics Easy to use and navigate Perfect gift for mom,
The battery life is greatLast on a bus trip to kept he quiet,Smart Speakers
I got this for my wife and she loves it Great speed and display,
Gift for our son and he is really enjoying it He can read as well as play games,Smart Speakers
I use this tablet as an ereader and to listen to prime music at the same time Great for thisStill leaning other features,
I got this mainly to watch tvmovies Battery life is best of all devices I have used to date,Smart Speakers
Enjoyed the Kindle  and now this better version as well,Smart Speakers
Really a nice item works wonderfully for the cost its a bargain,Smart Speakers
Great product for the price Works great and comes with ample storage,E-Book Readers
this tablet is excellent i use it on the couch inthe bedroom and in the car too i simplty love it,
Very good picture and it even takes pictures which is awwsome You even get a free month of Amazon prime which came in very handy around Christmas Time,Smart Speakers
My daughter loves this tablet She plays multiple games and has taken video Easy to use and the color is very vivid,
Screen size good for older people Great resolution and easy to use,
Seems to work well Screen quality is good Like the size,Smart Speakers
The size and price makes this a best buy Im very pleased with my tablet,
I am thrilled with this purchase Both affordable and high quality,Smart Speakers
I will try again for the rd time with my new Amazon Fire It seems to have nice upgrades,Smart Speakers
This tablet works as well or better than my iPad It is quicker and simpler to use with better speed and reaction,
ProsGreat value for moneyEnough power to handle lot of Android gamesDecent battery lifeConsFeels slow after using for a few weeksLowresolution screen and camera,Smart Speakers
This is almost as good as my iPad mini i love my apple iPad however this is a great backup,
Tablet is great does everythimg as it should Great entry level tablet,E-Book Readers
I was looking to purchase a tablet for my kids so they could work on homework This is just what they need in terms of capability and size It is a great tablet for the price,E-Book Readers
This tablet is so easy to set up and use Very intuitive Love love this device and all of my books can be transferred from my old version Awesome,
The reader was easy to setup for a novice reader and email user,Smart Speakers
I gave this to my year old for Christmas and it has been the perfect gift Great price point compared to an ipad that can function for exactly what she needs,
Screen is good  Lack of Google play kinda hurts but you will survive The issue of back buttons or multifunction buttons is that sometime they dont appear when you need them as they are part of the screen  So you have to kinda summons them which is a pain,Smart Speakers
Its a good tablet for the value Downside is theres no Google Play Store access So youre limited to apps in the Amazon app store,
This is my first Android tablet I have used numerous Apple iPads thoughThe only thing I have been dissatisfied with is that there isnt an Instagram app available but that doesnt have anything to do with Amazon or Kindle,
My daughter gets great use with this tablet She loves to read so she gets best of both worlds She can get her books and surf the web Fsntastic buy,
I bought this for my mom She loves the convince of reading her books on there,Smart Speakers
This product is easy to use and take along with you,
We got this for our  yr old daughter and its perfect for her There hasnt been any issue with the games and educational apps she uses,Smart Speakers
I was in the middle of moving and didnt want to get a new labtop and found this Amazon Fire for a good price Ive been very happy with it If your looking for a cheap easy to use tablet look no further,
This is a very good product my kids do homework on it,
Bought this for our  year old daughter and she uses it daily She enjoys watching movies on it and playing learning games So far it has been very durable and battery life has been great,
Bought this for my husband at Christmas He is VERY happy with it and It keeps him out of my hair Bought one for our young son too Now i can breathe LOL Weve had no issues with them and has more than met our expectations Well worth the money  a VERY good deal,Smart Speakers
Im used to a n iPad so I wasnt impressed with the kindle I found it hard to navigate,Smart Speakers
the fire hd is great for reading kindle books  Its pretty slow for surfing the web If your looking for a great kindle this is it I would not recommend this for surfing the web,
Bought this kindle for my dad for Christmas He loves it,Smart Speakers
Best budget tablet out there Hasnt everything you need for someone who uses a tablet here and there,
The only regret I have is that the price went down the week after I purchased it It is much easier to use than a phone because of its screen size and its capabilities,Smart Speakers
This tablet is replacing an older model and the updates are wonderful I can handle most media on this tablet and the resolution is great I like the change of the camera to the back of the kindle instead of the front screen now I can see what Im aiming at Easy to use and cant beat the price,
Love the kindle and the price was excellent I would recommend it,
Bought  of these tablets for my kids They love them and easy to use,
Bought this for my son and he absolutely loves it,Smart Speakers
I chose this one because of the price and size of screen to use as an ereader It has not disappointed,
Got this for the kids for Xmaswas the BEST gift,Smart Speakers
This is a great tablet for anyone easy to use,E-Book Readers
Great entry level tabletreader holds a lot and its expandable of  GB,
With the Amazon fire tablet you get everything you would expect in a highend tablet for less than  Thats hard to beat,
Love this tablet daughter uses it mainly and she really likes it good for reading and games as well as web surfing meets all needs ,
Our  year old daughter received this for Christmas and she seems to love it so fay Does just enough to keep her entertained and I love the fact that she can easily access her books when she wants,Smart Speakers
Bought this for my father in law who is not tech savvy The free May Day feature is the best part I dont get called for tech support all of the time,Smart Speakers
Got this when they were on sale last year and love itI use it primarily to read and get emails with some surfing It has worked flawlessly for these applications,Smart Speakers
Nice tab and worth for its moneygot this from best buy during thanks giving and gifted to my friend,Smart Speakers
Bought for our son so he wouldnt have to carry books back from his deployment,Smart Speakers
I love my new Kindle Use it everyday It is easy to use and understand I chose this a tablet,
Got this for my  year old grandson He really likes it a lot This is good for kids to learn responsibility using tablets,Smart Speakers
I bought  one for each one of my daughters and they both like them,Smart Speakers
Got this kindle as a Christmas present for my mother and she absolutely loved it She enjoys reading at night but hates how dim the lights are when she reads a book This was a perfect compromise,Smart Speakers
Great starter tablet without the big cost Does everything I need,
The Amazon Fire is great for our  year old to play some games,
Brought it as a gift for my wife and she loves it,Smart Speakers
Kindle Fire HD is an upgrade for me from Kindle Fire  It has many more features and is very easy to navigate,Smart Speakers
Cant beat the quality and performance of this tablet for  I bought it to be my main link with my Amazon Prime But used it last week instead to download Direct TV app so I could use it to watch the FBS championship game It worked great but it couldnt help my bama team win,
Just what my Niece wanted for Christmas She is enjoying every minutes use ,Smart Speakers
BOUGHT THIS FOR MY FATHER AS HE HAD MY OLD KINDLE EASY FOR HIM TO USE,Smart Speakers
This is my th Kindle  I use it as a tablet when I travel,
Overall this is a great product It sometimes freezes with some of the games but other apps work great Alexa is a great addition,E-Book Readers
So many apps to look at hard to put down when everythig can be reached at your figertips,Smart Speakers
Simple and objective this tablet is an excellent choice for adults and children,
This is an intermediate size tablet that works very well for its designed purpose The price was good and it has plenty of acc,
Love this oneIt is my third kindleMy last one was a bit larger but it was a bit heavyLove this one for reading or playing gamesI can check my email and shop on line as well as take and store photosI can also listen to music,Smart Speakers
Good tablet A lot of tablet for the money Great for kids,E-Book Readers
Amazon continues to offer quality products with the Amazon fire HD  for a reasonable price,Smart Speakers
Wanted something small and this was perfect size ,Smart Speakers
They just keep getting better This is great for the beginner or pro,
Upgraded from st generation Fire tablet Decided to go with GB tablet and there were none in store so I had to order for free delivery to store Arrived on day promised Was easy to sync new tablet with older tablet Very nice picture and video Great value,
Wife loves it so makes my life better what else do you need to know past that,Smart Speakers
The screen size is good and the HD pictures are clear I also like the camera photos They are better than my cell phone camera The size of the pictures are great I would recommend this Fire HD for the ease of use,
I bought this for my wife and she absolutely loves this device ,Smart Speakers
I have an older kindle and wanted more space This works very well,Smart Speakers
A great tablet for not a lot of money Does what the more expensive tablets does for less,
Got it last black Friday Was looking for a cheap decent tab Couldve been better if there was a mirroring capability,Smart Speakers
Amazon Fire HD is great for browsing and reading GPS system not that great though,
This is the best thing for reading specially on the go,Smart Speakers
Now I want one My older son wants one to Keep of the good work,Smart Speakers
This is my second amazon fire purchase I wanted one for home and one to keep with me for traveling and work Its was to negotiate and fits all my basic daily needs,Smart Speakers
Bought this tablet cause it was super cheap during December Its a good tablet for someone who doesnt need a powerhouse,
This is a good tablet for basic use I ened up returning it and going with an iPad which met my needs more This tablet would be good for someone with limited computer knowledgeuse,
Purchased this as a Christmas gift for an adopted family The teenager absolutely loved it,Smart Speakers
This was bought as a replacement for my wifes previous kindle She is loving the larger screen and the fact that it has a camera,Smart Speakers
Bought it for myself It is everything its advertised to be Works great especially if you are a Amazon Prime member,
This product met my needs perfectly It was easy to set up and portable to use anywhere,Smart Speakers
I bought this tablet during black friday for  dollars and it is well worth the price Definitely an upgrade from the first gen tablet,
Best Buy has a good price structure for the Kindle Staff members were very helpful,Smart Speakers
The Amazon Fire HD is easy to use The  tablet is just the right size,
My friend is enjoying getting acquainted with her first ever electronic device It is just what she needed to get into the digital age She is an older woman and is excited about all she can do on her Kindlefire,Smart Speakers
This was a gift for my wife and she has truly enjoyed it The different lighting for reading so helpful,Smart Speakers
Very user friendly For the price best deal out there,Smart Speakers
Bought it for my wife who reads a lot of books She loves it,Smart Speakers
Amazon is great tablet and the price is excellent great,
User friendly and overall great product Camera quality is not the greatest but this is not intended to be used as a camera so I cant complain,
Love this tablet easy to use and extremely affordable,
Bought as a reading tool for my daughter She enjoys it and also the fact that she can download apps Great tool for school and fun,
Bought for husband to replace his old one Uses it all the time and would recommend,Smart Speakers
daughter loves it uses it every day likes everything about it,Smart Speakers
My youngest daughter is very pleased with this tablet,
Easy to use Perfect for using for my clinicals in nursing school,Smart Speakers
Easy to use and the HD is awesome The simplicity as well as the easy to follow directions to set it up is great It does everything I want it to do,
Great products as usual and great customer service,
It helps if your an amazon prime member  You can download a lot more things to do on the tablet,
This was purchased as a gift for an avid reader and as a streaming media device I looked at the bigger kindle but this one is the right compromise between size and portability for the planned uses,Smart Speakers
A great alternative to the more expensive tablets Battery lasts for quite a while,
Love love love my kindle fire Had the original and then bought and iPad then bought this kindle and I am wondering why I even bought the iPad Will not switch again I will stick with my kindle,Smart Speakers
The fire runs well and was easy to set up The pop up adds are a bit annoying but the tablet works well,
Happy with the purcase Gift for my mother in law,Smart Speakers
ok i did like the product very much thank you for ok,Smart Speakers
Great for reading books Does everything an iPad or tablet does,E-Book Readers
It is a lot cheaper than other tablets with all the functions I need,Smart Speakers
This is a excellent tablet for browsing the internet and reading ebooks and for the price you cant beat it,
My ND would way rather have a fire any day than an ipad,Smart Speakers
Loved the product First I was disappointed that I could not download Google Store apps but a Quick Google Search fixed that Issue and now I can download any Google Store Apps The Battery Life is amazing as I was able to Watch around  Full Movies on a Single Charge Performance is great as Games like Marvel Champions Modern Strike Online had no issues Able to add an SD Card is just perfect as I dont have to worry about Storage for downloading Movies or Apps Speakers are better then my Samsung Galaxy S For the Price point of this Tablet there is not a single thing to Complain If I have to Brightness of the Screen can be better,
the amount i paid for the tablet is worth it on sale,
My grandson loves it  He was very happy with it ,Smart Speakers
This tablet works well for surfing the internet and playing music,
My husband and I have totally enjoyed owning these Amazon Fire tablets They are so much easier on the eyes than our iphones,Smart Speakers
Great improvement over the old kindle fire Better size than the hd Not to big and not too small Fast processing spead,
My wife loves it Great picture quality and easy to use,
Got this for my  year old son Great for reading books and playing games Cant beat the price,
Bought for my wife she loves it took some getting use to though but she is doing well with it,Smart Speakers
Bought as a gift for my mother Instead of her feeling locked at the computer she can now access the web from anywhere in the house,Smart Speakers
This is just the perfect item for what we needed It is compact and can go anywhere with you,Smart Speakers
She says this was the best gift she ever received,Smart Speakers
My kids got this to replace their Ipads and havent missed a beat,Smart Speakers
Bought this for my aunt for Christmas She had wanted a book reader But then she decided she wanted something she could play games on Shes very happy with it,Smart Speakers
Purchased as a replacement for an older kindle and the fire HD did not disappoint The intended recipient was thrilled that a camera came with it Well worth the money,Smart Speakers
th amazon product I own it is a great budget tablet,E-Book Readers
Bought for the daughter for Christmas and seems to work great,
For the price this tablet is an absolute steal Ive never had an iPad to compare it to but thats only because Ive never wanted to spend hundreds of dollars for a tablet,
Recently upgraded from the inch kindle and i must say huge improvements all i can say is that if they can speed up the processor by next year with more ram they might compete with the ipad,Smart Speakers
The tablet was a good gift for Christmas I bought it on black Friday for a cheap price,
I put a memory card in this and put the Play Store on it Google it I use it as a mini office with a Bluetooth keyboard I love it,Smart Speakers
This  tablet is much better than the older  tablet It is faster and have a camera Great improvement over the older version,
Great size Works with all apps No issues yet Would buy more,
Gifts for  yr old grandsons very easy for them to maneuver around great charge life We have to forcethem to take breaks,
This is the perfect tablet for basic use or if upgrading from the kids edition of the Amazon Fire Much less expensive than an iPad and more durable if you have a tween who isnt always careful with their tech,
This was the first time I had a tablet It is so much fun to play games on,
Prefer no amps on unit and just allow buyer to place the amps they want or will ever use,Smart Speakers
This is perfect for kids The parental controls make me feel secure in letting my child use the tablet safely,
I would recommend this to other grandparents for their grandkids,Smart Speakers
this works great if you use amazon a lot and watch movies from amazon,
Great product for surfing the internet or reading books,
I am familiarizing my self with no conclusion to say something about it now,Smart Speakers
I was expecting an Android device and discovered it was an Android like device My fault for not reading up on his device before hand I returned the Amazon Fire and bought a Samsung Tab EI probably would recommend this tablet if you wanted a device for reading,
Bought this as a gift for my aunt and she loves it Easy to get connected and set up She is totally nontechny and was able to do it herself Great buy,
I love this Kindle and bought it for the upgrades to replace my original kindle fire I would give it an excellent rating if the camera were better but the pictures come out grainy and not very clear Great for watching shows and videos and these are very clear Love playing games on it and of course reading the latest books,
Was looking for an inexpensive tablet for our child Got this while on sale and ordered a screen protector and child case Has worked well Can set daily limits to prevent them from using to much Would buy again,
Bought it on sale for Christmas gift and well worth the money Does everything needed with good functionality Easy to use for those not too tech savvy,Smart Speakers
Bought this as a gift  they seemed to like it The price was nice and so was the size of it,
This is a great device I needed something small to read books on This device is exactly what I was looking for,
Purchase this tablet during the Christmas holidays on sale Got as a gift for my jobs Christmas gift party The person who got it was very happy with it I am familiar with the tablet because I bought one for my wife when they first came out for her to use to read her books,
My nephew likes the large size of the Fire tablet as its significantly larger than his phone,
This is a great little tablet especially for the price,E-Book Readers
Nice deals on the product with saving and good customet experience,Smart Speakers
I bought the Kindle Fire HD as a Christmas gift for my mom She has never had a computer or Kindle She loves it Best gift I gave her She plays a lot of games on it That keeps her mind working Love the size of screen,Smart Speakers
Purchased for my nephew for Christmas He loved it and really enjoy it for playing games and reading books,Smart Speakers
Purchased this for my nephew He loved it and cant stop playing with it,Smart Speakers
My grandson broke his Amazon fire table one day after warranty expired He was disappointed So I bought him an  version  He had a big smile,Smart Speakers
This serves every function I need in a tablet Price is right,
Its a handy little tool to have for reading eBooks,Smart Speakers
Bought this as a gift but was wrong item wanted so wasnt used,Smart Speakers
Very easy to use and navigate Perfect size to carry in my purse and still a good sized screen to watch movies,Smart Speakers
This product is very user friendly and it is very lightweight,Smart Speakers
this was great buy  can do it allfair price  great games,E-Book Readers
This was bought primarily for photos I added the  card Putting in the  card might have been a little tricky but the sales rep did it for me My wildlife photos look brilliant on the tablet Id recommend making a Geek Squad appt for about an hour after you plan to buy the tablet That way you learn how to use it before leaving the store Also I got one that had been returned but all the parts still had the plastic wrap on them That made it  less and hence the great deal in the title It may pay to ask about a return I plan to take some of the free classes offered,
I liked the volume buttons on the side of my old  Fire better than on top like this new  Thats the only reason I didnt give it a  star rating,Smart Speakers
This is an awesome tablet it is fast with great pictures,E-Book Readers
Tablet works great Nice big size good battery power No problems using it,
I am still learning all the different things I can do with the Kindle Fire So far I like it,Smart Speakers
Perfect product for senior citizen who just wants to do a little internet shopping and receive and send emails Nice size screen and easy to use Great gift for a lot less investment than an ipad or laptop,
I bought this as a gift and the recipient loves the processing speed and the fact that it has  cameras on the device,Smart Speakers
I am very happy with the kindle fire hd  it is very easy to use,Smart Speakers
I bought this for my mother for Christmas She is not the most technological advanced individual She really wanted a tablet and this one works great and is super easy to use I went to program it for her and she insisted on doing it herself She was able to no problem,
Easy to use tablet Price is pretty good My mom loves it,
Bought this tablet for a relative for Christmas who wanted access to audiobooks My only issue is that the tablet needs a wifi connection in order for the audio to work with certain apps Not a problem if you have constant access to wifi but my relative does not Nice tablet otherwise,
This device completely meets my needs for reading and accessibility,Smart Speakers
I bought this tablet for my  year old Easy to use and awesome graphics Easy for adults to manage apps and parental controls,
Great tablet for the price pointespecially if you are big Amazon userExpandable memory is a great feature,E-Book Readers
The kids more expensive tablets died twice Repair was more than the Fire brand new,Smart Speakers
I would buy another one for the priceGood product,Smart Speakers
My teenager loves to read and we purchased it for her Great purchase,
Would give  stars but THE ADDS Just as functional as my iPad,Smart Speakers
Upgraded from a standard kindle to a kindle fire Lots more features and about the same price I would definitely recommend this for anyone who wants a tablet but doesnt want to pay a lot of money,
This was a great Christmas gift for my kid This allows them to store their favorite books and play some educational games Its nice to also have an optional MicroSD card for extra storage,
works great for reading or playing games it connects to the web fast and responds very well,
Perfect for face timing with family Perfect for travel,Smart Speakers
I love this I use it daily And I love the fact that I can add a ad card for more memory,Smart Speakers
Love it and would recommend it for the young as the old,Smart Speakers
Purchased on black Friday deal for  Good buy Not iPad quality but a fraction of the price and nice for watching prime videos and normal apps Would purchase at standard price also as a fun extra tablet,
Unable to download the Instagram app which stinks,Smart Speakers
Nice size screen Very fast easy to use nice size nice screen,
I bought this for my husband who is in a nursing home to be able to listen to music He loves it And uses it every day for music and other things too,Smart Speakers
nice tabket for the money with many nice features and durable,Smart Speakers
I love the kindal because i am a reader i able to check out books from library through overdrive but if i get an alert about world event i simply go to ond of the news apps and get the latest headline Great price,
Love this tablet Super bright colors Great for gamers Cant bet this tablet for any price,E-Book Readers
The kindle fire hd is a wonderful tool as well as a device for entertainment The beauty of the kindle fire is the price I look forward to buying updated devices,Smart Speakers
My son enjoys it no complaints works great long battery life,
holds a charge better than any tablet i have ever had,
This is the rd Kindle Fire that I have purchased This one is much faster and more user friendly We just bought our  grand daughters and  grandsons a Kindle Fire with the youngest  yrs old He has it mastered already Great tablet for a good price,
Being used to an Ipad this is difficult to adust to but does the job just fine for a low price  good size to carry around without weighing down your purse Would buy again,Smart Speakers
This is an awesome product love the flexibility it has with not only book reading but other apps as well,Smart Speakers
This is my second kindle Love size of screen and it is super light Great camera,
My daughter loved it nd I love that she leaves my phone alone now,Smart Speakers
Easy to use and great quality All  of my kids have a Kindle Fire,
I bought this e reader for myself and I love it The price was great and the product is nice,
I got this for myself on black Friday I have had  Kindles before but never the Fire Love it,Smart Speakers
I love the fact that is very practical and I didnt have to spend a lot of money,Smart Speakers
Well my kids love them So thats great for me The only bad thing I can say is i cant figure out how to make it so they can download free games and not ones that cost money,
This imy rd kindle deviceI chose it becazuse it haf more memorystoeage,Smart Speakers
This is a great tablet plus you cant beat this price,E-Book Readers
I bought my fire tablet during the Christmas sale season for a great price to replace my aging iPad I am really impressed with the speed of downloads and the quality of the video I added an inexpensive SD card to download videos and shows It is great for travel,
This tablet was a gift to my daughter because shes an avid reader and anime watcher She has been nothing but excited since she opened it and there have been zero complaints,
My kindle fire HD is quite an upgrade to my old Kindle Camera is a terrific addition and the screen is so much better,Smart Speakers
Got an unbelievable deal The best part is having a library of books at my fingertips Easy and simple to set up and great when Im traveling,
I was using this for a while it was X faster then my kindle th generation yes gb of ram but the App Store made from Amazon is not the best so I downloaded the google play store to get the apps I mostly used I only use my kindle fire had  for books and reading or watching YouTube or the web Im giving the rating  stars,Smart Speakers
Ive had kindles since they first came out love it,Smart Speakers
Perfect for my elderly mom to play games and use for reading,Smart Speakers
Great for what it is The product is solid Got it as a gift for family,
Excellent resolution and speed I love the easy usability of the new fire,Smart Speakers
I got this for my sister as a gift So far so good The price was just right,
My daughter loves her tabletshe takes it with her everywhere,Smart Speakers
the kindle is all way a good product for the money the hold family have one just got me the  and love it get a Kindle and same money at the same time,Smart Speakers
Its big then the one I had I would tell my friends,Smart Speakers
I purchased this Fire Tablet as a Christmas gift for my husband He is learning to use it and so far likes it really well He hasnt downloaded any books yet but he now has an email address and will soon have a Facebook account His brothers  sisters live around the country so now he will be able to keep in contact with them,
Purchased for my granddaughter and it was a great investment,
This little  tablet is really good for reading ebooks and watching netflix,
This replaced my old original kindle fire What a great upgrade,
Thought it was to be better than what it is Mother in law can play games an Facebook on it Next time I will buy her a samsung,Smart Speakers
It was on a total of an hour and a half when the screen went completely dark Would not turn on after that The battery was fineIt just quit working all together,Smart Speakers
Bought this for my  year old Godson and he loves it He would play it for hours on end if his parents would let him He mostly plays games on it but he also uses it to watch videos and read books,Smart Speakers
The granddaughter loves it and she cant put it down,Smart Speakers
Great build qualityGood screen resolution for the moneyCan install android applications including kodi,
Like this so much bought another one for my daughter,Smart Speakers
My husband and I were looking around for a tablet for our daughter We wanted something that she could use easily and we wouldnt have to worry about what she was doing With the different profiles and parental controls available we have enjoyed our choice of this tablet,
Bought this for our granddaughter She absolutely loves it Easy for her to learn how to operate,Smart Speakers
Good tablet but not as smooth as high end tablets Its limited to Amazon so dont expect to do as much as an Android or iPad I like mine and will continue to use it I recommend using one if you can before buying,
I love it,Smart Speakers
The Unit works exactly as described A very good buy,Smart Speakers
Great tablet for price Display is clear Enjoy books on tablet,E-Book Readers
Its unfair for me to rate this product cause I have not even taken it out of the box to set it up,Smart Speakers
Kids love it Easy setup was ready with in minutes,Smart Speakers
Working Product at the price that was advertised Great,
Its nice really nice Go buy one for your grandma She will give you a real big hug,Smart Speakers
I have been using this for a bit now Its wonderful I also have another tablet but use the kindle exclusively for reading The kindle works extremely If you use amazon prime this is a no brainer,
Great speed and function for a small price Does what I needed,
I would recommend to others great playing games reading surfing the InternetCamera works very good and easy upload photos when needed,
This tablet works as expected I would recommend this tablet to anyone who needs a new tablet with great battery life,E-Book Readers
Delivers as advertised Very fast performance and the kids love it,Smart Speakers
Absolutely love the tablet My wife loves it Much more enjoyable than playing on the phone,
Great purchase Would definitely recommend it to anyone,
Now all  of my children have a kindle This one is by far the best one,Smart Speakers
Currently setting everything up on it but so far so good,Smart Speakers
Very good price good item Would purchase again This was a gift,
Purchased  of these and am real satisfied with them,Smart Speakers
Not many apps The first one was already returnedno power issue after weekI hope the second one is fine,Smart Speakers
awesome tablet wonderful upgrade from the first kindle fire,
For the money this tablet has a great display and allows you to do pretty much the same that lots of other more expensive devices are capable of,
Bought this for my daughter for Christmas She absolutely loves it She has been on it since she opened it,Smart Speakers
Grandkids each got one and they love it Step up from original Kindle,Smart Speakers
Great tablet My son really likes it to read and also to play games,
Great buy for my yr old cheap so if it ends up broken for any reason I can replace it easily,
I was always an IPad person but after having this Im fine with it Its easy to use and inexpensive,Smart Speakers
Was happy to get the toy for my son for Christmas and they wont stop playing it,Smart Speakers
Bought for my daughter she loves it Great investment for her watching movies,
Purchased two Fire tablets for my children My son loves it for reading books from library and my daughter loves listening to audio booksThey both were not sure they would like the tablet but they really love them,
Love the HD the extra inch makes a huge difference over the HD,Smart Speakers
I bought this on line as a gift The unit does not stay on and I cannot get in touch with anyone to get the unit repaired,Smart Speakers
Simple to use Great for Dad who wants to play games and check weather,
I love my tablet It is super easy and loads fast,
Bought this for a new tablet user After a quick training session she caught right on,
Perfect size for me Speaker clarity is amazing and produces a great picture,
This is a great tablet without the steep cost of an iPad I havent used it too much so far but the picture and sound is pretty good and being able to stream moviesshows is quite nice,
Perfect for summer reading and movies,Smart Speakers
Incredible value tablet,
Great tablet for the price,
love it,Smart Speakers
it seems like a lot of gadget for the money,Smart Speakers
Great value and well,E-Book Readers
Good pad for places not for IPad,Smart Speakers
I went back and bought one more,Smart Speakers
and watching movies,Smart Speakers
Love it,Smart Speakers
Great Tablet,
Excellent,Smart Speakers
worth the money,Smart Speakers
Excellent Gift,Smart Speakers
It is a great product,E-Book Readers
and performs just as good as the more expensive ones,Smart Speakers
Amazon  Fire HD    Tablet  GB  WiFi  T,
Great tablet for mom,E-Book Readers
replaced a smaller one he broke Tip add a child proff cover The migration executive experience amazing Picked up from cloud and i was good to go,Smart Speakers
Satisfied,Smart Speakers
the size is perfect not too small not too big Kid friendlyand easy to use Overall o rate it  starsno problems to list,Smart Speakers
gets the job done,Smart Speakers
Kids love it,
so it must be ok,Smart Speakers
different android chargers Nothing Worthless,Smart Speakers
Simple and nice,Smart Speakers
good quality graphics too,Smart Speakers
